Imagen,MSE,PSNR
1,0.0020402512,75.03396695138461
2,0.0014755891,76.44114909599234
3,0.0014901481,76.39850896597746
4,0.0026799275,73.84957317607147
5,0.0021454245,74.81567103259249
6,0.0019702676,75.18555112333597
7,0.001981132,75.16166927688505
8,0.0025862926,74.00402679757774
9,0.0025051406,74.1424824934868
10,0.0026449412,73.9066433117594
11,0.003737512,72.40497754501999
12,0.0032182734,73.054574413665
13,0.0023210738,74.4739138275375
14,0.0026498707,73.89855660999709
15,0.002713085,73.79616987575103
16,0.00157129,76.16824046345782
17,0.004338618,71.75728981228977
18,0.0015257904,76.29585473726632
19,0.0018317917,75.5020427782097
20,0.0030642543,73.26755583368393
21,0.0018860528,75.37526544842325
22,0.002642678,73.91036123008288
23,0.0016554097,75.94174860233177
24,0.004648282,71.45787884731445
25,0.0024663894,74.21018698235673
26,0.0016033666,76.08047507286281
27,0.0016416115,75.97809980452112
28,0.001715936,75.78579288705166
29,0.0024807542,74.1849665387196
30,0.004071934,72.03279568446696
31,0.00220668,74.69341034810793
32,0.0028422303,73.59421125712569
33,0.0033065425,72.93706221547447
34,0.0021602984,74.78566639768043
35,0.0016216709,76.03117649096131
36,0.0022126504,74.68167599008959
37,0.0019695987,75.18702596214561
38,0.0021514278,74.80353605105617
39,0.0035110337,72.67645370054461
40,0.0011537238,77.50978470502994
41,0.0020734905,74.96378273102559
42,0.0020685843,74.97407116088056
43,0.0027105194,73.80027832847492
44,0.0036635199,72.49181787722833
45,0.0015461734,76.23822164893616
46,0.0017266275,75.758817059765
47,0.0012612778,77.12269589384849
48,0.0018324015,75.50059737791383
49,0.001721313,75.77220481092299
50,0.0017861575,75.61160611273127
51,0.0022515478,74.60599225116971
52,0.0021783942,74.74943868715194
53,0.0014879457,76.40493296917971
54,0.0021394398,74.82780270429234
55,0.0016959191,75.83675231293847
56,0.0024681007,74.20717476632998
57,0.0019121107,75.31567319829541
58,0.0022562956,74.5968436495684
59,0.002957087,73.42216240871241
60,0.0026697018,73.8661759147969
61,0.0021624502,74.78134214751505
62,0.0017180305,75.78049452930537
63,0.0023747336,74.37465477867109
64,0.003695436,72.45414656644346
65,0.002137972,74.83078333722732
66,0.0041989144,71.8994330962468
67,0.0017679192,75.65617920367254
68,0.004426159,71.6705333347259
69,0.0019213307,75.2947821668868
70,0.0022585823,74.59244419378315
71,0.002400817,74.32721308010461
72,0.0023704856,74.38243035841822
73,0.0030607802,73.27248195492433
74,0.00200597,75.1075588055201
75,0.0018162203,75.53911789499642
76,0.0015090005,76.34390974778532
77,0.0017814173,75.62314711040743
78,0.0036453344,72.51343009739551
79,0.0017809226,75.62435311920515
80,0.0017230886,75.76772772174974
81,0.0019382208,75.25677144582099
82,0.003074608,73.25290625189587
83,0.0016465919,75.96494375223439
84,0.0016115516,76.05836166826805
85,0.003150546,73.14694550718366
86,0.0043440065,71.7518985907628
87,0.0015895544,76.11804983955584
88,0.0029168322,73.48168910444176
89,0.002569785,74.03183580661218
90,0.0019713626,75.18313855578482
91,0.0016629143,75.92210507437154
92,0.0023038632,74.50623697507115
93,0.0021549235,74.79648470845771
94,0.0014322959,76.57047595534591
95,0.002238137,74.63193712807399
96,0.003968215,72.14485127907307
97,0.0017068918,75.80874391042002
98,0.0013701655,76.76307318062604
99,0.0015679738,76.17741554742723
100,0.002366847,74.38910211089951
101,0.0026298151,73.93155124825715
102,0.0018741621,75.40273190420982
103,0.0036442457,72.51472713791729
104,0.0037621274,72.3764688222477
105,0.002801701,73.6565858091035
106,0.002173082,74.76004257456022
107,0.002532911,74.09460414059558
108,0.004336127,71.75978373332599
109,0.0028109231,73.64231360470545
110,0.0029971695,73.36369042144891
111,0.003639081,72.52088643566985
112,0.0018718889,75.40800288857591
113,0.0021065967,74.89498939978243
114,0.0016233947,76.02656233632918
115,0.0015532561,76.2183730348576
116,0.0023553465,74.41025553191609
117,0.0031986278,73.08116618567668
118,0.0024152494,74.30118356126657
119,0.0017020686,75.82103314109858
120,0.00186537,75.42315402052711
121,0.0036438196,72.5152347515464
122,0.0026432448,73.90942971318667
123,0.0027080067,73.8043066476565
124,0.0030738215,73.25401682234377
125,0.0022020843,74.70246407289362
126,0.001773605,75.64223440971969
127,0.0018900454,75.36608134788884
128,0.0016735003,75.8945458293791
129,0.0034196612,72.79097253271863
130,0.0014270734,76.58634012945201
131,0.00407772,72.02662978716272
132,0.0021134578,74.88086792601416
133,0.0019393719,75.25419279985064
134,0.0014452146,76.53148058764384
135,0.0028493237,73.58338597124755
136,0.0024214813,74.28999261348038
137,0.0016626453,75.92280733824701
138,0.003955061,72.15927144081608
139,0.0017587848,75.67867642454941
140,0.0017823614,75.6208459612956
141,0.0016655365,75.91526157015386
142,0.0025113,74.13181751773836
143,0.0012322334,77.22387358662691
144,0.0024401345,74.25666584997329
145,0.0025848465,74.00645638343073
146,0.00289821,73.50950491757912
147,0.0020496058,75.01409989601042
148,0.002270415,74.56975091419909
149,0.0023412844,74.43626204859584
150,0.0021253005,74.85660016810661
151,0.0023871833,74.35194586752934
152,0.0037953695,72.33826286186931
153,0.0019290919,75.27727424530474
154,0.0031199516,73.18932519987447
155,0.003399991,72.81602570773646
156,0.0025543163,74.05805656719666
157,0.0028031874,73.65428207643336
158,0.0015049089,76.3557017854163
159,0.0039046006,72.21503721739236
160,0.0021387036,74.82929779066129
161,0.0024006472,74.3275201629329
162,0.0020266399,75.0630375223104
163,0.0018101986,75.55354136543356
164,0.0033245855,72.91342835492361
165,0.002634427,73.9239418749892
166,0.0017605904,75.67422028248043
